kind,series_name,series_imdb_id,season,episode,original_air_date,original_air_year,rating,votes,runtime,is_comedy,is_drama
movie,Desperados,1545304,,,03 Jul 2020 (USA),2020,5.2,6500,105,1,0
movie,The Speed Cubers,12038300,,,29 Jul 2020 (USA),2020,7.5,1284,39,0,0
movie,Father of the Year,7256866,,,20 Jul 2018 (USA),2018,5.2,9475,94,1,0
movie,Nappily Ever After,365545,,,21 Sep 2018 (USA),2018,6.4,7463,98,1,1
movie,The Kissing Booth 2,9784456,,,24 Jul 2020 (USA),2020,5.9,13271,134,1,0
movie,The Christmas Chronicles,2990140,,,22 Nov 2018 (USA),2018,7.1,42769,104,1,0
tv movie,Unbreakable Kimmy Schmidt: Kimmy vs the Reverend,10324166,,,12 May 2020 (USA),2020,7.3,2026,80,1,0
movie,Brotherhood,7220118,,,,,4.8,110,96,0,1
movie,Work It,10276470,,,07 Aug 2020 (USA),2020,6.2,4339,93,1,0
tv movie,"Yo, Potro",9154584,,,19 Oct 2018 (USA),2018,6.3,393,50,1,0
movie,Tall Girl,9252508,,,13 Sep 2019 (USA),2019,5.2,16020,101,1,1
movie,The Perfect Date,8201170,,,12 Apr 2019 (USA),2019,5.8,30149,89,1,0
movie,The Lovebirds,8851668,,,22 May 2020 (USA),2020,6,17550,86,1,0
movie,The Willoughbys,5206260,,,22 Apr 2020 (USA),2020,6.4,10798,90,1,0
movie,Gunjan Saxena: The Kargil Girl,10350626,,,12 Aug 2020 (USA),2020,5.3,16501,112,0,1
movie,"Gabriel ""Fluffy"" Iglesias: One Show Fits All",9426212,,,29 Jan 2019 (USA),2019,7.3,1362,90,1,0
movie,Step Sisters,5267472,,,19 Jan 2018 (USA),2018,5.4,3871,108,1,0
movie,Gabriel Iglesias: I'm Sorry for What I Said When I Was Hungry,6302122,,,20 Dec 2016 (USA),2016,7.4,2105,87,1,0
episode,Épisode 6,8185084,,,9-Apr-18,2018,7.5,116,59,0,1
movie,The Larva Island Movie,12588448,,,23 Jul 2020 (USA),2020,5,254,89,0,0
movie,Project Power,7550000,,,14 Aug 2020 (USA),2020,6.1,15299,113,0,0
movie,6 Underground,8106534,,,13 Dec 2019 (USA),2019,6.1,128249,128,0,0
movie,Spenser Confidential,8629748,,,06 Mar 2020 (USA),2020,6.2,60274,111,1,1
movie,The Wrong Missy,9619798,,,13 May 2020 (USA),2020,5.7,28008,90,1,0
movie,Sebastian Maniscalco: Stay Hungry,9482786,,,15 Jan 2019 (USA),2019,7.1,992,65,1,0
movie,Malibu Rescue: The Next Wave,11032990,,,04 Aug 2020 (USA),2020,4.7,295,68,1,0
movie,The Half of It,9683478,,,01 May 2020 (USA),2020,6.9,22848,104,1,1
movie,Feel the Beat,10714856,,,19 Jun 2020 (USA),2020,6.3,5795,109,1,1
movie,Dave Chappelle: Sticks & Stones,10810424,,,26 Aug 2019 (USA),2019,8.5,20514,65,1,0
movie,To All the Boys: P.S. I Still Love You,9354842,,,12 Feb 2020 (USA),2020,6,20831,101,1,1
tv short,Marco Polo: One Hundred Eyes,5235348,,,26 Dec 2015 (USA),2015,7.8,8995,28,0,1
tv movie,Money Heist: The Phenomenon,12078990,,,03 Apr 2020 (USA),2020,7.5,1824,57,0,0
movie,Dave Chappelle: Equanimity,7806998,,,31 Dec 2017 (USA),2017,8.2,9131,64,1,0
movie,Lady J,7530986,,,08 Mar 2019 (USA),2019,6.9,2169,109,0,1
movie,Gnome Alone,5851786,,,14 Oct 2018 (USA),2018,5.6,2559,85,1,0
movie,Ajin: Demi-Human,6215712,,,30 Sep 2017 (Japan),2017,6.4,1323,109,0,0
movie,Errementari,5592878,,,12 Oct 2018 (Germany),2018,6.4,8792,98,0,0
movie,Flavors of Youth,8176578,,,04 Aug 2018 (USA),2018,6.6,5095,74,0,1
movie,Animal Crackers,4155534,,,24 Jul 2020 (USA),2020,5.8,1713,105,1,0
movie,Latte & the Magic Waterstone,9038290,,,31 Jul 2020 (USA),2020,5.7,343,81,1,0
movie,The Skin of the Wolf,6347150,,,06 Jul 2018 (USA),2018,5.7,2186,110,0,1
movie,Malibu Rescue,9228950,,,13 May 2019 (USA),2019,4.8,827,68,1,0
movie,Steel Rain,6769508,,,14 Mar 2018 (USA),2018,7.1,3783,139,0,1
tv series,The Woods,1910645,1,1,12 Jun. 2020,2020,6.9,171,,0,1
tv series,The Woods,1910645,1,2,12 Jun. 2020,2020,6.8,109,,0,1
tv series,The Woods,1910645,1,3,12 Jun. 2020,2020,6.9,99,,0,1
tv series,The Woods,1910645,1,4,12 Jun. 2020,2020,7,96,,0,1
tv series,The Woods,1910645,1,5,12 Jun. 2020,2020,7.1,95,,0,1
tv series,The Woods,1910645,1,6,12 Jun. 2020,2020,6.9,98,,0,1
tv series,My Country: The New Age,10850888,1,1,4 Oct. 2019,2019,8.6,39,80,0,1
tv series,My Country: The New Age,10850888,1,2,5 Oct. 2019,2019,8.9,36,80,0,1
tv series,My Country: The New Age,10850888,1,3,11 Oct. 2019,2019,8.8,27,80,0,1
tv series,My Country: The New Age,10850888,1,4,12 Oct. 2019,2019,8.6,25,80,0,1
tv series,My Country: The New Age,10850888,1,5,18 Oct. 2019,2019,8.7,22,80,0,1
tv series,My Country: The New Age,10850888,1,6,19 Oct. 2019,2019,8.7,20,80,0,1
tv series,My Country: The New Age,10850888,1,7,25 Oct. 2019,2019,8.7,20,80,0,1
tv series,My Country: The New Age,10850888,1,8,26 Oct. 2019,2019,8.9,19,80,0,1
tv series,My Country: The New Age,10850888,1,9,1 Nov. 2019,2019,9.1,18,80,0,1
tv series,My Country: The New Age,10850888,1,10,2 Nov. 2019,2019,8.7,16,80,0,1
tv series,My Country: The New Age,10850888,1,11,8 Nov. 2019,2019,7.9,15,80,0,1
tv series,My Country: The New Age,10850888,1,12,9 Nov. 2019,2019,9.1,18,80,0,1
tv series,My Country: The New Age,10850888,1,13,15 Nov. 2019,2019,8.5,12,80,0,1
tv series,My Country: The New Age,10850888,1,14,16 Nov. 2019,2019,8.5,14,80,0,1
tv series,My Country: The New Age,10850888,1,15,22 Nov. 2019,2019,8.7,14,80,0,1
tv series,My Country: The New Age,10850888,1,16,23 Nov. 2019,2019,8.3,20,80,0,1
tv series,Explained,8005374,1,1,23-May-18,2018,7.5,414,16,0,0
tv series,Explained,8005374,1,2,23-May-18,2018,7.7,342,17,0,0
tv series,Explained,8005374,1,3,23-May-18,2018,7.3,388,18,0,0
tv series,Explained,8005374,1,4,30-May-18,2018,6.7,294,,0,0
tv series,Explained,8005374,1,5,6 Jun. 2018,2018,6.9,305,,0,0
tv series,Explained,8005374,1,6,13 Jun. 2018,2018,7.2,296,,0,0
tv series,Explained,8005374,1,7,20 Jun. 2018,2018,7.3,285,,0,0
tv series,Explained,8005374,1,8,27 Jun. 2018,2018,7.2,255,,0,0
tv series,Explained,8005374,1,9,4 Jul. 2018,2018,7.5,271,,0,0
tv series,Explained,8005374,1,10,11 Jul. 2018,2018,7.3,251,,0,0
tv series,Explained,8005374,1,11,18 Jul. 2018,2018,7,230,,0,0
tv series,Explained,8005374,1,12,25 Jul. 2018,2018,7.6,266,,0,0
tv series,Explained,8005374,1,13,1 Aug. 2018,2018,7,242,,0,0
tv series,Explained,8005374,1,14,8 Aug. 2018,2018,6.7,275,,0,0
tv series,Explained,8005374,1,15,15 Aug. 2018,2018,7.7,263,,0,0
tv series,Explained,8005374,1,16,22 Aug. 2018,2018,7.5,337,,0,0
tv series,Explained,8005374,1,17,29 Aug. 2018,2018,7,282,,0,0
tv series,Explained,8005374,1,18,5 Sep. 2018,2018,7.4,317,,0,0
tv series,Explained,8005374,1,19,12 Sep. 2018,2018,8.4,330,,0,0
tv series,Explained,8005374,1,20,19 Sep. 2018,2018,7.4,344,,0,0
tv series,Explained,8005374,2,1,26 Sep. 2019,2019,7.7,239,,0,0
tv series,Explained,8005374,2,2,3 Oct. 2019,2019,8.1,241,,0,0
tv series,Explained,8005374,2,3,10 Oct. 2019,2019,8.2,225,,0,0
tv series,Explained,8005374,2,4,17 Oct. 2019,2019,7.1,185,,0,0
tv series,Explained,8005374,2,5,24 Oct. 2019,2019,7.6,203,,0,0
tv series,Explained,8005374,2,6,31 Oct. 2019,2019,7.3,174,,0,0
tv series,Explained,8005374,2,7,7 Nov. 2019,2019,8.6,320,,0,0
tv series,Explained,8005374,2,8,14 Nov. 2019,2019,8.3,198,,0,0
tv series,Explained,8005374,2,9,21 Nov. 2019,2019,7.3,166,,0,0
tv series,Explained,8005374,2,10,28 Nov. 2019,2019,7.5,175,,0,0
tv series,QB1: Beyond the Lights,5771332,1,1,13 Feb. 2017,2017,7.4,30,,0,0
tv series,QB1: Beyond the Lights,5771332,1,2,20 Feb. 2017,2017,7.5,21,,0,0
tv series,QB1: Beyond the Lights,5771332,1,3,27 Feb. 2017,2017,7.5,19,,0,0
tv series,QB1: Beyond the Lights,5771332,1,4,6 Mar. 2017,2017,7.6,20,,0,0
tv series,QB1: Beyond the Lights,5771332,1,5,13 Mar. 2017,2017,7.5,19,,0,0
tv series,QB1: Beyond the Lights,5771332,1,6,20 Mar. 2017,2017,7.6,20,,0,0
tv series,QB1: Beyond the Lights,5771332,1,7,27 Mar. 2017,2017,7.4,20,,0,0
tv series,QB1: Beyond the Lights,5771332,1,8,3 Apr. 2017,2017,7.5,20,,0,0
tv series,QB1: Beyond the Lights,5771332,1,9,10 Apr. 2017,2017,7.9,21,,0,0
tv series,QB1: Beyond the Lights,5771332,1,10,17 Apr. 2017,2017,7.9,18,,0,0
tv series,QB1: Beyond the Lights,5771332,2,1,28 Feb. 2018,2018,7.4,18,,0,0
tv series,QB1: Beyond the Lights,5771332,2,2,28 Feb. 2018,2018,7.8,15,,0,0
tv series,QB1: Beyond the Lights,5771332,2,3,28 Feb. 2018,2018,7.7,15,,0,0
tv series,QB1: Beyond the Lights,5771332,2,4,7 Mar. 2018,2018,7.6,12,,0,0
tv series,QB1: Beyond the Lights,5771332,2,5,14 Mar. 2018,2018,7.6,13,,0,0
tv series,QB1: Beyond the Lights,5771332,2,6,21 Mar. 2018,2018,7,14,,0,0
tv series,QB1: Beyond the Lights,5771332,2,7,28 Mar. 2018,2018,7.7,13,,0,0
tv series,QB1: Beyond the Lights,5771332,2,8,4 Apr. 2018,2018,7.8,14,35,0,0
tv series,QB1: Beyond the Lights,5771332,2,9,11 Apr. 2018,2018,7.9,14,,0,0
tv series,QB1: Beyond the Lights,5771332,2,10,19 Apr. 2018,2018,8,15,,0,0
tv series,QB1: Beyond the Lights,5771332,3,1,16 Aug. 2019,2019,7.5,23,,0,0
tv series,QB1: Beyond the Lights,5771332,3,2,16 Aug. 2019,2019,7.5,19,,0,0
tv series,QB1: Beyond the Lights,5771332,3,3,16 Aug. 2019,2019,7.6,19,,0,0
tv series,QB1: Beyond the Lights,5771332,3,4,16 Aug. 2019,2019,7.6,19,,0,0
tv series,QB1: Beyond the Lights,5771332,3,5,16 Aug. 2019,2019,7.4,19,,0,0
tv series,QB1: Beyond the Lights,5771332,3,6,16 Aug. 2019,2019,7.6,19,,0,0
tv series,QB1: Beyond the Lights,5771332,3,7,16 Aug. 2019,2019,7.7,18,,0,0
tv series,QB1: Beyond the Lights,5771332,3,8,16 Aug. 2019,2019,7.9,19,,0,0
tv series,QB1: Beyond the Lights,5771332,3,9,16 Aug. 2019,2019,7.9,17,,0,0
tv series,QB1: Beyond the Lights,5771332,3,10,16 Aug. 2019,2019,7.9,17,,0,0
tv series,Jessica Jones,2357547,1,1,20 Nov. 2015,2015,8,6038,52,0,1
tv series,Jessica Jones,2357547,1,2,20 Nov. 2015,2015,8.1,4985,52,0,1
tv series,Jessica Jones,2357547,1,3,20 Nov. 2015,2015,8.2,4721,54,0,1
tv series,Jessica Jones,2357547,1,4,20 Nov. 2015,2015,8.1,4542,49,0,1
tv series,Jessica Jones,2357547,1,5,20 Nov. 2015,2015,8.5,4511,50,0,1
tv series,Jessica Jones,2357547,1,6,20 Nov. 2015,2015,8.2,4361,54,0,1
tv series,Jessica Jones,2357547,1,7,20 Nov. 2015,2015,8.6,4400,55,0,1
tv series,Jessica Jones,2357547,1,8,20 Nov. 2015,2015,9,4736,50,0,1
tv series,Jessica Jones,2357547,1,9,20 Nov. 2015,2015,9.1,4956,55,0,1
tv series,Jessica Jones,2357547,1,10,20 Nov. 2015,2015,8.8,4559,46,0,1
tv series,Jessica Jones,2357547,1,11,20 Nov. 2015,2015,8.1,4149,50,0,1
tv series,Jessica Jones,2357547,1,12,20 Nov. 2015,2015,8.5,4164,54,0,1
tv series,Jessica Jones,2357547,1,13,20 Nov. 2015,2015,8.7,4621,52,0,1
tv series,Jessica Jones,2357547,2,1,8 Mar. 2018,2018,7.6,2770,54,0,1
tv series,Jessica Jones,2357547,2,2,8 Mar. 2018,2018,7.5,2476,56,0,1
tv series,Jessica Jones,2357547,2,3,8 Mar. 2018,2018,7.7,2370,55,0,1
tv series,Jessica Jones,2357547,2,4,8 Mar. 2018,2018,7.8,2310,50,0,1
tv series,Jessica Jones,2357547,2,5,8 Mar. 2018,2018,7.9,2290,53,0,1
tv series,Jessica Jones,2357547,2,6,8 Mar. 2018,2018,7.7,2273,49,0,1
tv series,Jessica Jones,2357547,2,7,8 Mar. 2018,2018,8.4,2471,54,0,1
tv series,Jessica Jones,2357547,2,8,8 Mar. 2018,2018,7.7,2188,50,0,1
tv series,Jessica Jones,2357547,2,9,8 Mar. 2018,2018,7.8,2168,50,0,1
tv series,Jessica Jones,2357547,2,10,8 Mar. 2018,2018,7.6,2155,55,0,1
tv series,Jessica Jones,2357547,2,11,8 Mar. 2018,2018,8.4,2356,49,0,1
tv series,Jessica Jones,2357547,2,12,8 Mar. 2018,2018,7.9,2144,47,0,1
tv series,Jessica Jones,2357547,2,13,8 Mar. 2018,2018,8,2314,53,0,1
tv series,Jessica Jones,2357547,3,1,14 Jun. 2019,2019,7.5,1577,51,0,1
tv series,Jessica Jones,2357547,3,2,14 Jun. 2019,2019,7.3,1549,55,0,1
tv series,Jessica Jones,2357547,3,3,14 Jun. 2019,2019,7.4,1398,56,0,1
tv series,Jessica Jones,2357547,3,4,14 Jun. 2019,2019,7.7,1358,45,0,1
tv series,Jessica Jones,2357547,3,5,14 Jun. 2019,2019,7.9,1331,53,0,1
tv series,Jessica Jones,2357547,3,6,14 Jun. 2019,2019,7.8,1286,53,0,1
tv series,Jessica Jones,2357547,3,7,14 Jun. 2019,2019,8.2,1305,50,0,1
tv series,Jessica Jones,2357547,3,8,14 Jun. 2019,2019,8.5,1352,44,0,1
tv series,Jessica Jones,2357547,3,9,14 Jun. 2019,2019,7.8,1253,51,0,1
tv series,Jessica Jones,2357547,3,10,14 Jun. 2019,2019,7.7,1212,50,0,1
tv series,Jessica Jones,2357547,3,11,14 Jun. 2019,2019,7.7,1281,48,0,1
tv series,Jessica Jones,2357547,3,12,14 Jun. 2019,2019,8.5,1292,49,0,1
tv series,Jessica Jones,2357547,3,13,14 Jun. 2019,2019,8.2,1453,51,0,1
tv series,Mortel,8403570,1,1,21 Nov. 2019,2019,6.8,36,,0,0
tv series,Mortel,8403570,1,2,21 Nov. 2019,2019,7.8,24,,0,0
tv series,Mortel,8403570,1,3,21 Nov. 2019,2019,7.5,24,,0,0
tv series,Mortel,8403570,1,4,21 Nov. 2019,2019,7.5,21,,0,0
tv series,Mortel,8403570,1,5,21 Nov. 2019,2019,7.8,22,,0,0
tv series,Mortel,8403570,1,6,21 Nov. 2019,2019,7.8,23,,0,0
tv series,Mortel,8403570,2,1,,,,,,0,0
tv series,Battlefish,8893566,1,1,21 Sep. 2018,2018,7.6,16,,0,0
tv series,Battlefish,8893566,1,2,21 Aug. 2018,2018,8.1,8,,0,0
tv series,Battlefish,8893566,1,3,21 Sep. 2018,2018,7.7,10,,0,0
tv series,Battlefish,8893566,1,4,21 Sep. 2018,2018,8.5,8,,0,0
tv series,Battlefish,8893566,1,5,21 Sep. 2018,2018,8.7,7,,0,0
tv series,Battlefish,8893566,1,6,21 Sep. 2018,2018,9,7,,0,0
tv series,Battlefish,8893566,1,7,20 Sep. 2018,2018,8.6,7,,0,0
tv series,Battlefish,8893566,1,8,21 Sep. 2018,2018,9.1,9,,0,0
tv series,Blown Away,9908860,1,1,12 Jul. 2019,2019,7.2,51,,0,0
tv series,Blown Away,9908860,1,2,12 Jul. 2019,2019,7,46,,0,0
tv series,Blown Away,9908860,1,3,12 Jul. 2019,2019,7.3,46,,0,0
tv series,Blown Away,9908860,1,4,12 Jul. 2019,2019,6.6,44,,0,0
tv series,Blown Away,9908860,1,5,12 Jul. 2019,2019,7.3,41,,0,0
tv series,Blown Away,9908860,1,6,12 Jul. 2019,2019,7.4,40,,0,0
tv series,Blown Away,9908860,1,7,12 Jul. 2019,2019,6.9,37,,0,0
tv series,Blown Away,9908860,1,8,12 Jul. 2019,2019,6.4,44,,0,0
tv series,Blown Away,9908860,1,9,12 Jul. 2019,2019,7.1,32,,0,0
tv series,Blown Away,9908860,1,10,12 Jul. 2019,2019,4.6,64,,0,0
tv series,Criminal: Spain,10986050,1,1,20 Sep. 2019,2019,6.5,373,,0,1
tv series,Criminal: Spain,10986050,1,2,20 Sep. 2019,2019,7.5,341,,0,1
tv series,Criminal: Spain,10986050,1,3,20 Sep. 2019,2019,7,286,,0,1
tv series,Thieves of the Wood,5766086,1,1,2 Jan. 2020,2020,7.7,83,,0,1
tv series,Thieves of the Wood,5766086,1,2,2 Jan. 2020,2020,7.6,57,,0,1
tv series,Thieves of the Wood,5766086,1,3,2020,,7.6,54,,0,1
tv series,Thieves of the Wood,5766086,1,4,2020,,7.8,52,,0,1
tv series,Thieves of the Wood,5766086,1,5,2020,,7.9,53,,0,1
tv series,Thieves of the Wood,5766086,1,6,2020,,7.8,47,,0,1
tv series,Thieves of the Wood,5766086,1,7,2020,,7.5,41,,0,1
tv series,Thieves of the Wood,5766086,1,8,2020,,7.7,45,,0,1
tv series,Thieves of the Wood,5766086,1,9,2020,,7.6,41,,0,1
tv series,Thieves of the Wood,5766086,1,10,2020,,7.6,46,,0,1
tv series,Vis a vis,4524056,1,1,20 Apr. 2015,2015,8.1,425,44,0,1
tv series,Vis a vis,4524056,1,2,27 Apr. 2015,2015,8,327,49,0,1
tv series,Vis a vis,4524056,1,3,4-May-15,2015,7.9,307,53,0,1
tv series,Vis a vis,4524056,1,4,11-May-15,2015,8.1,288,50,0,1
tv series,Vis a vis,4524056,1,5,18-May-15,2015,8,273,50,0,1
tv series,Vis a vis,4524056,1,6,28-May-15,2015,8.1,261,46,0,1
tv series,Vis a vis,4524056,1,7,4 Jun. 2015,2015,8.1,258,47,0,1
tv series,Vis a vis,4524056,1,8,11 Jun. 2015,2015,8.1,258,59,0,1
tv series,Vis a vis,4524056,1,9,18 Jun. 2015,2015,8.5,263,57,0,1
tv series,Vis a vis,4524056,1,10,25 Jun. 2015,2015,8.4,255,56,0,1
tv series,Vis a vis,4524056,1,11,29 Jun. 2015,2015,8.6,267,52,0,1
tv series,Vis a vis,4524056,1,12,2015,,8.3,141,54,0,1
tv series,Vis a vis,4524056,1,13,2015,,8.7,144,53,0,1
tv series,Vis a vis,4524056,1,14,2015,,8.3,132,52,0,1
tv series,Vis a vis,4524056,1,15,2015,,8.5,130,48,0,1
tv series,Vis a vis,4524056,1,16,2015,,8.7,147,46,0,1
tv series,Vis a vis,4524056,2,1,31 Mar. 2016,2016,8.4,231,46,0,1
tv series,Vis a vis,4524056,2,2,7 Apr. 2016,2016,8.3,213,44,0,1
tv series,Vis a vis,4524056,2,3,14 Apr. 2016,2016,8.1,200,45,0,1
tv series,Vis a vis,4524056,2,4,21 Apr. 2016,2016,8.1,196,43,0,1
tv series,Vis a vis,4524056,2,5,27 Apr. 2016,2016,8.2,196,43,0,1
tv series,Vis a vis,4524056,2,6,4-May-16,2016,8.3,200,49,0,1
tv series,Vis a vis,4524056,2,7,11-May-16,2016,8.5,209,,0,1
tv series,Vis a vis,4524056,2,8,18-May-16,2016,8.1,187,45,0,1
tv series,Vis a vis,4524056,2,9,25-May-16,2016,8.1,190,51,0,1
tv series,Vis a vis,4524056,2,10,1 Jun. 2016,2016,8.1,183,48,0,1
tv series,Vis a vis,4524056,2,11,8 Jun. 2016,2016,8.7,210,,0,1
tv series,Vis a vis,4524056,2,12,15 Jun. 2016,2016,8.3,180,,0,1
tv series,Vis a vis,4524056,2,13,22 Jun. 2016,2016,8.6,219,,0,1
tv series,Vis a vis,4524056,2,14,2016,,8.3,82,,0,1
tv series,Vis a vis,4524056,2,15,2016,,8.6,81,,0,1
tv series,Vis a vis,4524056,2,16,2016,,8.4,84,,0,1
tv series,Vis a vis,4524056,2,17,2016,,8.5,85,46,0,1
tv series,Vis a vis,4524056,2,18,2016,,8.7,98,,0,1
tv series,Vis a vis,4524056,2,19,2016,,8.7,109,,0,1
tv series,Vis a vis,4524056,3,1,23 Apr. 2018,2018,8.4,334,,0,1
tv series,Vis a vis,4524056,3,2,30 Apr. 2018,2018,8.5,275,,0,1
tv series,Vis a vis,4524056,3,3,7-May-18,2018,8.3,245,,0,1
tv series,Vis a vis,4524056,3,4,14-May-18,2018,8.3,222,,0,1
tv series,Vis a vis,4524056,3,5,21-May-18,2018,7.8,210,,0,1
tv series,Vis a vis,4524056,3,6,28-May-18,2018,7.7,202,,0,1
tv series,Vis a vis,4524056,3,7,4 Jun. 2018,2018,7.7,205,,0,1
tv series,Vis a vis,4524056,3,8,11 Jun. 2018,2018,7.9,247,,0,1
tv series,Vis a vis,4524056,4,1,3 Dec. 2018,2018,8.2,260,,0,1
tv series,Vis a vis,4524056,4,2,10 Dec. 2018,2018,8,215,,0,1
tv series,Vis a vis,4524056,4,3,17 Dec. 2018,2018,8.2,213,,0,1
