"series_name","series_num","season","episode","rating","votes","runtime","is_comedy","is_drama","rating_miss"
"Aggretsuko",10,1,7,8,151,15,1,1,8
"Aggretsuko",10,1,8,7.5,136,15,1,1,7.5
"Aggretsuko",10,1,9,7.4,137,15,1,1,7.4
"Aggretsuko",10,1,10,8.1,142,18,1,1,8.1
"Aggretsuko",10,2,0,7.5,200,22,1,1,7.5
"All Hail King Julien",11,1,1,7.2,77,23,1,0,NA
"All Hail King Julien",11,1,2,7.5,59,23,1,0,NA
"All Hail King Julien",11,1,3,7.7,52,23,1,0,NA
"All Hail King Julien",11,1,4,7.9,47,23,1,0,NA
"All Hail King Julien",11,1,5,7.8,48,23,1,0,NA
"All Hail King Julien",11,1,6,7.9,34,23,1,0,NA
"All Hail King Julien",11,1,7,7.7,38,23,1,0,NA
"All Hail King Julien",11,1,8,7.8,36,23,1,0,NA
"All Hail King Julien",11,1,9,8.2,35,23,1,0,NA
"All Hail King Julien",11,1,10,8.1,34,23,1,0,NA
"All Hail King Julien",11,2,1,7.4,27,23,1,0,NA
"All Hail King Julien",11,2,2,7.8,29,23,1,0,NA
"All Hail King Julien",11,2,3,7.6,27,23,1,0,NA
"All Hail King Julien",11,2,4,7.7,26,23,1,0,NA
"All Hail King Julien",11,2,5,8.3,37,23,1,0,NA
"All Hail King Julien",11,2,6,7.7,27,23,1,0,NA
"All Hail King Julien",11,2,7,7.6,28,23,1,0,NA
"All Hail King Julien",11,2,8,7.6,26,23,1,0,NA
"All Hail King Julien",11,2,9,7.7,28,23,1,0,NA
"All Hail King Julien",11,2,10,7.2,28,23,1,0,NA
"All Hail King Julien",11,2,11,7.8,24,23,1,0,NA
"All Hail King Julien",11,2,12,7.7,26,23,1,0,NA
"All Hail King Julien",11,2,13,7.8,24,23,1,0,NA
"All Hail King Julien",11,2,14,8.3,30,23,1,0,NA
"All Hail King Julien",11,2,15,7.7,24,23,1,0,NA
"All Hail King Julien",11,2,16,7.9,28,23,1,0,NA
"All Hail King Julien",11,3,1,7.6,26,22,1,0,NA
"All Hail King Julien",11,3,2,7.7,26,22,1,0,NA
"All Hail King Julien",11,3,3,7,23,22,1,0,NA
"All Hail King Julien",11,3,4,7.1,23,23,1,0,NA
"All Hail King Julien",11,3,5,7.7,23,23,1,0,NA
"All Hail King Julien",11,3,6,7.3,23,23,1,0,NA
