kind,series_name,series_imdb_id,season,episode,rating,votes,runtime,is_comedy,is_drama,rating_miss
tv series,Pokémon,168366,7,1,7,65,22,1,0,7
tv series,Pokémon,168366,7,2,6.4,67,22,1,0,6.4
tv series,Pokémon,168366,7,3,6.9,64,22,1,0,6.9
tv series,Pokémon,168366,7,4,7.2,70,22,1,0,NA
tv series,Pokémon,168366,7,5,7.3,71,22,1,0,7.3
tv series,Pokémon,168366,7,6,6.8,63,22,1,0,6.8
tv series,Pokémon,168366,7,7,7,63,22,1,0,NA
tv series,Pokémon,168366,7,8,6.4,63,22,1,0,6.4
tv series,Pokémon,168366,7,9,6.6,69,22,1,0,6.6
tv series,Pokémon,168366,7,10,6.5,62,22,1,0,NA
tv series,Pokémon,168366,7,11,6.8,60,22,1,0,6.8
tv series,Pokémon,168366,7,12,6.4,65,22,1,0,6.4
tv series,Pokémon,168366,7,13,6.6,63,22,1,0,6.6
tv series,Pokémon,168366,7,14,6.4,67,22,1,0,6.4
tv series,Pokémon,168366,7,15,7,63,22,1,0,7
tv series,Pokémon,168366,7,16,7.1,64,22,1,0,NA
tv series,Pokémon,168366,7,17,6.4,63,22,1,0,6.4
tv series,Pokémon,168366,7,18,7,65,22,1,0,7
tv series,Pokémon,168366,7,19,6.5,67,22,1,0,NA
tv series,Pokémon,168366,7,20,6.8,65,22,1,0,6.8
tv series,Pokémon,168366,7,21,6.5,63,22,1,0,6.5
tv series,Pokémon,168366,7,22,6.6,64,22,1,0,6.6
tv series,Pokémon,168366,7,23,6.7,64,22,1,0,6.7
tv series,Pokémon,168366,7,24,6.5,65,22,1,0,6.5
tv series,Pokémon,168366,7,25,6.3,60,22,1,0,6.3
tv series,Pokémon,168366,7,26,6.8,62,22,1,0,6.8
tv series,Pokémon,168366,7,27,6.7,61,22,1,0,NA
tv series,Pokémon,168366,7,28,6.3,63,22,1,0,NA
tv series,Pokémon,168366,7,29,6.7,63,22,1,0,6.7
tv series,Pokémon,168366,7,30,6.9,69,22,1,0,6.9
tv series,Pokémon,168366,7,31,6.6,63,22,1,0,NA
tv series,Pokémon,168366,7,32,6.7,68,22,1,0,6.7
tv series,Pokémon,168366,7,33,6.8,67,22,1,0,6.8
tv series,Pokémon,168366,7,34,6.7,62,22,1,0,6.7
tv series,Pokémon,168366,7,35,6.7,62,22,1,0,6.7
tv series,Pokémon,168366,7,36,6.8,63,22,1,0,6.8
tv series,Pokémon,168366,7,37,6.5,58,22,1,0,6.5
tv series,Pokémon,168366,7,38,6.5,59,22,1,0,NA
tv series,Pokémon,168366,7,39,6.3,58,22,1,0,6.3
tv series,Pokémon,168366,7,40,6.7,62,22,1,0,6.7
tv series,Pokémon,168366,7,41,6.1,61,22,1,0,6.1
tv series,Pokémon,168366,7,42,6.6,60,22,1,0,NA
tv series,Pokémon,168366,7,43,6.4,61,22,1,0,6.4
tv series,Pokémon,168366,7,44,6.7,63,22,1,0,NA
tv series,Pokémon,168366,7,45,7.3,62,22,1,0,7.3
tv series,Pokémon,168366,7,46,6.6,62,22,1,0,6.6
tv series,Pokémon,168366,7,47,6.7,60,22,1,0,6.7
tv series,Pokémon,168366,7,48,6.6,62,22,1,0,6.6
tv series,Pokémon,168366,7,49,7.1,68,22,1,0,7.1
tv series,Pokémon,168366,7,50,7,59,22,1,0,7
tv series,Pokémon,168366,7,51,6.8,61,22,1,0,6.8
tv series,Pokémon,168366,7,52,6.4,63,22,1,0,NA
tv series,Pokémon,168366,8,1,6.6,59,22,1,0,6.6
tv series,Pokémon,168366,8,2,6.5,57,22,1,0,6.5
tv series,Pokémon,168366,8,3,6.4,57,22,1,0,6.4
tv series,Pokémon,168366,8,4,6.5,59,22,1,0,6.5
tv series,Pokémon,168366,8,5,7.2,63,22,1,0,7.2
tv series,Pokémon,168366,8,6,7.5,66,22,1,0,7.5
tv series,Pokémon,168366,8,7,6.4,57,22,1,0,6.4
tv series,Pokémon,168366,8,8,6.8,58,22,1,0,6.8
tv series,Pokémon,168366,8,9,6.6,63,22,1,0,6.6
tv series,Pokémon,168366,8,10,6.4,57,22,1,0,6.4
tv series,Pokémon,168366,8,11,6.8,62,22,1,0,6.8
tv series,Pokémon,168366,8,12,6.9,55,22,1,0,6.9
tv series,Pokémon,168366,8,13,6.8,57,22,1,0,6.8
tv series,Pokémon,168366,8,14,6.5,55,22,1,0,6.5
tv series,Pokémon,168366,8,15,6.6,59,22,1,0,6.6
tv series,Pokémon,168366,8,16,7,56,22,1,0,7
tv series,Pokémon,168366,8,17,7.2,58,22,1,0,NA
tv series,Pokémon,168366,8,18,6.8,57,22,1,0,6.8
tv series,Pokémon,168366,8,19,7.1,58,22,1,0,7.1
tv series,Pokémon,168366,8,20,6.5,55,22,1,0,6.5
tv series,Pokémon,168366,8,21,6.8,52,22,1,0,6.8
tv series,Pokémon,168366,8,22,6.7,59,22,1,0,6.7
tv series,Pokémon,168366,8,23,6.6,54,22,1,0,6.6
tv series,Pokémon,168366,8,24,6.7,53,22,1,0,6.7
tv series,Pokémon,168366,8,25,6.8,56,22,1,0,6.8
tv series,Pokémon,168366,8,26,6.7,54,22,1,0,NA
tv series,Pokémon,168366,8,27,6.8,54,22,1,0,NA
tv series,Pokémon,168366,8,28,4.5,21,25,1,0,4.5
tv series,Pokémon,168366,8,29,6.8,56,22,1,0,6.8
tv series,Pokémon,168366,8,30,6.7,55,22,1,0,6.7
tv series,Pokémon,168366,8,31,6.8,58,22,1,0,6.8
tv series,Pokémon,168366,8,32,6.6,55,22,1,0,NA
tv series,Pokémon,168366,8,33,6.7,56,22,1,0,6.7
tv series,Pokémon,168366,8,34,6.8,55,22,1,0,NA
tv series,Pokémon,168366,8,35,7.1,57,22,1,0,7.1
tv series,Pokémon,168366,8,36,7.2,57,22,1,0,7.2
tv series,Pokémon,168366,8,37,7.2,66,22,1,0,7.2
tv series,Pokémon,168366,8,38,7.4,59,22,1,0,7.4
tv series,Pokémon,168366,8,39,7.5,64,22,1,0,7.5
tv series,Pokémon,168366,8,40,7.2,62,22,1,0,7.2
tv series,Pokémon,168366,8,41,7.4,64,22,1,0,NA
tv series,Pokémon,168366,8,42,6.9,55,22,1,0,6.9
tv series,Pokémon,168366,8,43,7.1,63,22,1,0,NA
tv series,Pokémon,168366,8,44,7.9,61,22,1,0,7.9
tv series,Pokémon,168366,8,45,6.7,57,22,1,0,6.7
tv series,Pokémon,168366,8,46,7.1,57,22,1,0,NA
tv series,Pokémon,168366,8,47,6.6,55,22,1,0,6.6
tv series,Pokémon,168366,8,48,6.6,54,22,1,0,6.6
tv series,Pokémon,168366,8,49,6.5,54,22,1,0,6.5
tv series,Pokémon,168366,8,50,6.5,52,22,1,0,6.5
tv series,Pokémon,168366,8,51,6.6,54,22,1,0,6.6
tv series,Pokémon,168366,8,52,6.6,56,22,1,0,6.6
tv series,Pokémon,168366,8,53,6.6,67,22,1,0,6.6
tv series,Pokémon,168366,9,1,5.5,67,22,1,0,5.5
tv series,Pokémon,168366,9,2,7.1,63,22,1,0,7.1
tv series,Pokémon,168366,9,3,6.7,54,22,1,0,NA
tv series,Pokémon,168366,9,4,6.7,60,22,1,0,NA
tv series,Pokémon,168366,9,5,6.3,54,22,1,0,6.3
tv series,Pokémon,168366,9,6,6.5,51,22,1,0,6.5
tv series,Pokémon,168366,9,7,6.3,51,22,1,0,NA
tv series,Pokémon,168366,9,8,7,55,22,1,0,7
tv series,Pokémon,168366,9,9,6.6,52,22,1,0,6.6
tv series,Pokémon,168366,9,10,6.8,52,22,1,0,NA
